sku,product_name,product_category,product_subcategory,unit_price,unit_weight,is_innovation,effective_from,product_ref_id
60-0138-,Mini Kola Red 500g*20 Sachets,Candies,None,15200,10.0,No,2024-10-01,bba5ef44-020c-472a-b4f4-c3dd4ec31ce7
60-0077-,Mini Kola Oyé 500g*20Sachets,Candies,None,22900,10.0,No,2024-10-01,e47f66a3-3eb9-491e-a626-03163f3b3e16
60-0158-,Ok Pectoral 400g * 20Sachets,Candies,None,13250,9.999,No,2024-10-01,28f96fd0-088b-470a-ba00-16f502525b36
60-0152-,Mini Ok Pectoral 172g * 26Sachets,Candies,None,12550,4.47,No,2024-10-01,4087a521-6272-4d0f-802a-fdf946e824f2
60-161-,Mini Ok Ginger,Candies,ginger pop,20700,5.03,Yes,2024-10-01,ff0edd4d-aa95-45e6-b86a-728f63a42802
60-0153-,Kola Fruity (200g*50Sachets),Candies,None,10350,10.0,No,2024-10-01,992e33f4-c4b1-4b4d-b8cd-1e0a509cd15a
60-05A-,Kola Ginger 350G (12*50*6g),Candies,ginger pop,10350,4.2,No,2024-10-01,4469d8b9-a0c2-4611-ac42-e5b9b8e7d1a5
60-001E-,Kola Red Flowpack 350G(12*50*6g),Candies,None,10350,4.2,No,2024-10-01,58ef9277-37d0-475d-b19f-c8a093b54f11
60-002E-,Kola OYE Flow pack 350G(12*50*6g),Candies,None,10350,4.2,No,2024-10-01,909abab0-63a8-4ffc-802f-a33f26812d67
60-0008-,Kola Supermenthol 12*50*6g,Candies,menthol candy,10350,4.2,No,2024-10-01,d6c2bef5-d872-4123-ad4a-d464ba4900b5
60-0011A-,Kola Pop Fresh (10sx50ux12g),Candies,pop candy,9600,7.0,No,2024-10-01,0d588746-fb5a-4be6-9616-78e42d7d1e0c
60-118A-,Big GUMS TF 180g (26 Sachets),Gums,fruity gum,13450,4.95,No,2024-10-01,a2c164a0-7b59-4783-901e-c4cc6ff48fd1
60-134E-,Big GUMS Tutti Frutti 398gr (20Sachets),Gums,fruity gum,23050,8.5,No,2024-10-01,a0143b40-7ca5-4260-aab1-0f54ec4380f8
60-156A-,Big GUMS MC 180g ( 26 Sachets),Gums,menthol gum,13450,4.95,No,2024-10-01,a8d338df-3ab6-4ce1-81bb-805b9a6966bc
60-157E-,Big GUMS MC 398gr,Gums,menthol gum,23050,8.5,No,2024-10-01,d972b50b-a66f-46bc-ad62-596ba3101539
60-118B-,Big GUMS Raspberry (190g),Gums,fruity gum,13450,4.95,No,2024-10-01,74bfc710-a37e-4d71-ba4e-bfc680cf8c00
60-123A,Big GUMS TUTTi Frutti Flavour (12X150pcs),Gums,fruity gum,22000,4.14,Yes,2024-10-01,6a4c8b67-1f82-4181-8b2a-c56f7e5f9830
